Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Season Type,PER,Adjusted Salary
611,Theo Pinson,27,DAL,SG,40.0,1.0,8.1,0.8,2.2,0.356,0.6,1.6,0.355,0.2,0.6,0.36,0.483,0.3,0.3,0.846,0.3,1.3,1.6,1.2,0.2,0.0,0.3,0.9,2.4,Unknown,pinsoth01,Regular,10.1,2084602.82
612,Neemias Queta,23,SAC,C,5.0,0.0,5.8,1.2,1.8,0.667,0.0,0.0,0.346,1.2,1.8,0.667,0.667,0.0,0.4,0.0,1.0,1.2,2.2,0.2,0.0,0.4,0.2,1.4,2.4,Unknown,quetane01,Regular,17.0,538994.56
613,Trent Forrest,24,ATL,SG,23.0,3.0,12.0,1.1,2.6,0.417,0.0,0.1,0.0,1.1,2.5,0.431,0.417,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,Unknown,forretr01,Regular,6.1,538994.56
614,Scotty Pippen Jr.,22,LAL,PG,6.0,0.0,5.3,0.7,2.0,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3,Unknown,pippesc02,Regular,9.6,4699471.69
615,Justin Champagnie,21,2TM,SF,5.0,0.0,6.8,1.0,3.0,0.333,0.2,1.0,0.2,0.8,2.0,0.4,0.367,0.0,0.0,0.77,0.6,1.0,1.6,0.8,0.2,0.0,0.0,0.4,2.2,Unknown,champju01,Regular,10.3,903714.65
616,Justin Champagnie,21,TOR,SF,3.0,0.0,3.7,1.0,1.0,1.0,0.0,0.0,0.346,1.0,1.0,1.0,1.0,0.0,0.0,0.77,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0,Unknown,champju01,Regular,28.9,903714.65
617,Justin Champagnie,21,BOS,SF,2.0,0.0,11.5,1.0,6.0,0.167,0.5,2.5,0.2,0.5,3.5,0.143,0.208,0.0,0.0,0.77,1.0,1.0,2.0,1.5,0.5,0.0,0.0,0.5,2.5,Unknown,champju01,Regular,1.5,903714.65
618,Khem Birch,30,TOR,C,20.0,0.0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,Unknown,birchkh01,Regular,9.4,7061917.4
619,Kennedy Chandler,20,MEM,PG,36.0,0.0,7.8,1.0,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.434,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,Unknown,chandke01,Regular,10.6,1270986.26
620,Ron Harper Jr.,22,TOR,PF,9.0,0.0,5.3,0.9,1.8,0.5,0.3,1.0,0.333,0.6,0.8,0.714,0.594,0.1,0.1,1.0,0.3,0.4,0.8,0.4,0.0,0.1,0.0,0.3,2.2,Unknown,harpero02,Regular,15.7,4699471.69
